Tree	Shift_order	Net_Diversification	Relative_Extinction	Taxa_No
114	2	0.228034185	0.910825538	6_S_Am
114	3	2.27E-17	3.90E-06	3_B_alpina
115	1	0.075349864	0.798278332	Background
115	2	0.200743066	0.804485228	5_Euph_Bart_No_Africa
115	3	0.080867852	0.000446899	4_Africa
116	1	0.222474209	4.63E-06	Background
117	1	0.131161513	1.55E-06	Background
117	2	0.228045063	6.27E-07	7_Internal
118	1	0.150965648	6.60E-07	Background
118	2	0.189629202	0.922002615	6_S_Am
118	3	0.222232943	0.692873972	0_Euphrasia
119	1	0.14776131	8.57E-05	Background
119	2	0.182133966	0.921115015	6_S_Am
119	3	0.20676833	0.759162488	0_Euphrasia
120	1	0.11209348	0.561639589	Background
120	2	0.339642084	6.40E-07	5_Euph_Bart_No_Africa
120	3	0.068575403	4.17E-08	4_Africa
121	1	0.195420568	6.82E-07	Background
121	2	0.245023164	0.89589292	6_S_Am
122	1	0.093748262	0.745653091	Background
122	2	0.057961648	1.39E-06	4_Africa
122	3	0.242796689	0.698891123	5_Euph_Bart_No_Africa
123	1	0.22203179	0.26547398	Background
123	2	0.274097476	0.920191695	6_S_Am
124	1	0.070163508	0.884953974	Background
124	2	0.306520821	7.63E-06	7_Internal
125	1	0.057896651	0.871006688	Background
125	2	0.252825342	7.22E-06	7_Internal
126	1	0.127276471	0.477419387	Background
126	2	0.289756389	4.78E-06	7_Internal
127	1	0.141837819	1.44E-07	Background
127	2	0.299811329	3.05E-07	7_Internal
128	1	0.113875756	0.331658115	Background
128	2	0.238544086	0.619028608	5_Euph_Bart_No_Africa
128	3	0.071308449	7.22E-08	4_Africa
129	1	0.097561037	0.590780066	Background
129	2	0.24916121	7.92E-08	7_Internal
130	1	0.221008208	0.139667546	Background
130	2	2.27E-17	3.90E-06	3_B_alpina
131	1	0.159039854	0.317652427	Background
131	2	0.245083789	0.960968544	6_S_Am
131	3	0.183926746	0.936963251	0_Euphrasia
132	1	0.111026821	0.453237471	Background
132	2	0.24754073	1.10E-05	7_Internal
134	1	0.089034107	0.549054758	Background
134	2	0.262136512	0.133577734	5_Euph_Bart_No_Africa
134	3	0.057755891	1.40E-06	4_Africa
135	1	0.149601909	4.60E-06	Background
135	2	0.290720518	9.03E-06	7_Internal
136	1	0.104410483	0.460322017	Background
136	2	0.229504575	0.583434434	5_Euph_Bart_No_Africa
136	3	0.066262408	4.02E-06	4_Africa
137	1	0.10949376	0.068945107	Background
137	2	0.221909705	0.403736344	5_Euph_Bart_No_Africa
137	3	0.058467232	7.93E-07	4_Africa
138	1	0.135714026	0.262640696	Background
138	2	0.318202546	2.09E-06	7_Internal
139	1	0.135963144	0.300403837	Background
139	2	0.359137449	0.723610771	5_Euph_Bart_No_Africa
139	3	0.097432208	4.82E-07	4_Africa
140	1	0.120325735	0.011154406	Background
140	2	0.346716944	0.135675667	5_Euph_Bart_No_Africa
140	3	0.078020746	9.96E-08	4_Africa
141	1	0.132020148	1.01E-06	Background
141	2	0.305266502	7.42E-07	7_Internal
142	1	0.086970088	0.56487041	Background
142	2	0.239087622	0.787345369	5_Euph_Bart_No_Africa
142	3	0.072785528	1.91E-08	4_Africa
143	1	0.1372178	1.65E-06	Background
143	2	0.229514123	0.765825833	5_Euph_Bart_No_Africa
143	3	0.081741797	1.22E-06	4_Africa
144	1	0.141088772	5.68E-05	Background
144	2	0.298507996	4.65E-07	7_Internal
145	1	0.111938885	4.46E-06	Background
145	2	0.21466852	1.25E-05	7_Internal
146	1	0.133984407	0.512203539	Background
146	2	0.368518561	1.24E-07	7_Internal
147	1	0.1099153	0.415141529	Background
147	2	0.289583592	3.02E-05	7_Internal
148	1	0.147994673	0.123013876	Background
148	2	0.381124261	0.042567215	5_Euph_Bart_No_Africa
148	3	0.082568651	2.70E-08	4_Africa
149	1	0.119315998	0.475716089	Background
149	2	0.276578783	0.466628889	5_Euph_Bart_No_Africa
149	3	0.070471755	3.20E-07	4_Africa
150	1	0.21423536	1.57E-07	Background
150	2	0.305687707	0.870041129	6_S_Am
150	3	2.27E-17	3.90E-06	3_B_alpina
151	1	0.226889698	0.311633658	Background
151	2	2.27E-17	3.90E-06	3_B_alpina
